,County,Caucus,Square Miles,Population (January 2019),Gross Domestic Product (2018)
0,Alameda,Urban,825,1669301,144494091000
1,Alpine,Rural,727,1162,230220000
2,Amador,Rural,601,38294,1864239000
3,Butte,Suburban,1665,226466,10332996000
4,Calaveras,Rural,1036,45117,1642450000
5,Colusa,Rural,1156,22117,1721047000
6,Contra Costa,Urban,798,1155879,82436416000
7,Del Norte,Rural,1003,27401,1046680000
8,El Dorado,Rural,1805,191848,8765718000
9,Fresno,Urban,5998,1018241,47408857000
10,Glenn,Rural,1319,29132,1483786000
11,Humboldt,Rural,3600,135333,6817827000
12,Imperial,Suburban,4598,190266,8444865000
13,Inyo,Rural,10097,18593,1346160000
14,Kern,Suburban,8170,916464,49514180000
15,Kings,Rural,1436,153710,6145790000
16,Lake,Rural,1327,65071,2423297000
17,Lassen,Rural,4690,30150,1487738000
18,Los Angeles,Urban,4079,10253716,787176672000
19,Madera,Rural,2147,159536,7201526000
20,Marin,Suburban,588,262879,23648191000
21,Mariposa,Rural,1461,18068,910996000
22,Mendocino,Rural,3510,89009,4050620000
23,Merced,Suburban,2008,282928,9799550000
24,Modoc,Rural,4340,9602,455169000
25,Mono,Rural,3103,13616,1144985000
26,Monterey,Suburban,3324,445414,27423193000
27,Napa,Suburban,797,140779,11316865000
28,Nevada,Rural,992,98904,4761492000
29,Orange,Urban,785,3222498,260484674000
30,Placer,Suburban,1507,396691,24748629000
31,Plumas,Rural,2618,19779,1206345000
32,Riverside,Urban,7243,2440124,90768490000
33,Sacramento,Urban,1015,1546174,96628861000
34,San Benito,Rural,1397,62296,2759377000
35,San Bernardino,Urban,20164,2192203,96340623000
36,San Diego,Urban,4281,3351786,245138815000
37,San Francisco,Urban,91,883869,183171673000
38,San Joaquin,Urban,1436,770385,32328427000
39,San Luis Obispo,Suburban,3326,280393,18520901000
40,San Mateo,Urban,531,774485,114862990000
41,Santa Barbara,Suburban,2745,454593,30191620000
42,Santa Clara,Urban,1316,1954286,328260759000
43,Santa Cruz,Suburban,440,274871,15310247000
44,Shasta,Suburban,3850,178773,8723326000
45,Sierra,Rural,959,3213,226271000
46,Siskiyou,Rural,6318,44584,1940815000
47,Solano,Suburban,872,441307,26440606000
48,Sonoma,Suburban,1598,500675,31959962000
49,Stanislaus,Suburban,1521,558972,25133925000
50,Sutter,Rural,607,97490,3831491000
51,Tehama,Rural,2976,64387,2421320000
52,Trinity,Rural,3223,13688,570541000
53,Tulare,Suburban,4844,479112,19137922000
54,Tuolumne,Rural,2293,54590,2768973000
55,Ventura,Urban,1864,856598,59631268000
56,Yolo,Suburban,1034,222581,15336770000
57,Yuba,Rural,639,77916,3391514000
